,Year,Country of origin,Country of asylum,Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR
54,2017,Western Sahara,Angola,18,596,0
55,2017,Zambia,Angola,7,0,0
56,2017,Afghanistan,Egypt,17,22,0
57,2017,Burundi,Egypt,24,31,0
58,2017,Benin,Egypt,0,5,0
59,2017,Bangladesh,Egypt,0,5,0
60,2017,Central African Rep.,Egypt,17,16,0
61,2017,Chad,Egypt,46,35,0
62,2017,China,Egypt,0,42,0
63,2017,Cameroon,Egypt,5,27,0
64,2017,Congo,Egypt,5,19,0
65,2017,Dem. Rep. of the Congo,Egypt,40,19,0
66,2017,Djibouti,Egypt,5,13,0
67,2017,Eritrea,Egypt,2727,9966,0
68,2017,Ethiopia,Egypt,2676,11776,0
69,2017,Palestinian,Egypt,70018,0,0
70,2017,Ghana,Egypt,0,10,0
71,2017,Guinea,Egypt,5,15,0
72,2017,Cote d'Ivoire,Egypt,113,5,0
73,2017,India,Egypt,0,5,0
74,2017,Iraq,Egypt,4275,2388,0
75,2017,Jordan,Egypt,0,13,0
76,2017,Kenya,Egypt,6,5,0
77,2017,Liberia,Egypt,0,13,0
78,2017,Mali,Egypt,9,5,0
79,2017,Myanmar,Egypt,5,0,0
80,2017,Niger,Egypt,0,5,0
81,2017,Nigeria,Egypt,17,335,0
82,2017,Russian Federation,Egypt,18,47,0
83,2017,Saudi Arabia,Egypt,0,6,0
84,2017,Sierra Leone,Egypt,5,10,0
85,2017,Somalia,Egypt,3252,3395,0
86,2017,Sudan,Egypt,17298,18439,0
87,2017,South Sudan,Egypt,5247,4828,0
88,2017,Syrian Arab Rep.,Egypt,126688,0,0
89,2017,Tajikistan,Egypt,12,29,0
90,2017,Turkmenistan,Egypt,5,0,0
91,2017,Türkiye,Egypt,0,387,0
92,2017,Uganda,Egypt,10,16,0
93,2017,Uzbekistan,Egypt,0,73,0
94,2017,Yemen,Egypt,85,4500,0
95,2017,Zimbabwe,Egypt,12,47,0
96,2017,Stateless,Egypt,5,0,0
97,2017,Unknown ,Egypt,0,5,0
98,2017,Afghanistan,Argentina,5,9,0
99,2017,Albania,Argentina,18,0,0
100,2017,Algeria,Argentina,30,5,0
101,2017,Angola,Argentina,14,11,0
102,2017,Egypt,Argentina,5,5,0
103,2017,Armenia,Argentina,78,180,0
104,2017,Burundi,Argentina,5,0,0
105,2017,Bangladesh,Argentina,5,57,0
106,2017,Bolivia (Plurinational State of),Argentina,5,5,0
107,2017,Brazil,Argentina,0,6,0
108,2017,Bosnia and Herzegovina,Argentina,6,0,0
109,2017,China,Argentina,0,60,0
110,2017,Chile,Argentina,33,5,0
111,2017,Cameroon,Argentina,6,31,0
112,2017,Dem. Rep. of the Congo,Argentina,22,23,0
113,2017,Colombia,Argentina,544,188,0
114,2017,Costa Rica,Argentina,5,0,0
115,2017,Cuba,Argentina,255,583,0
116,2017,Dominican Rep.,Argentina,0,283,0
117,2017,Ecuador,Argentina,17,5,0
118,2017,Ethiopia,Argentina,5,0,0
119,2017,Gambia,Argentina,0,10,0
120,2017,Palestinian,Argentina,10,9,0
121,2017,Georgia,Argentina,5,0,0
122,2017,Germany,Argentina,0,5,0
123,2017,Ghana,Argentina,38,117,0
124,2017,Guinea-Bissau,Argentina,8,5,0
125,2017,Guatemala,Argentina,0,5,0
126,2017,Guinea,Argentina,9,10,0
127,2017,Haiti,Argentina,66,593,0
128,2017,Honduras,Argentina,5,5,0
129,2017,Hungary,Argentina,0,5,0
130,2017,Cote d'Ivoire,Argentina,20,0,0
131,2017,India,Argentina,22,114,0
132,2017,Iran (Islamic Rep. of),Argentina,23,0,0
133,2017,Iraq,Argentina,22,6,0
134,2017,Jamaica,Argentina,0,9,0
135,2017,Kazakhstan,Argentina,18,5,0
136,2017,Kyrgyzstan,Argentina,5,0,0
137,2017,Liberia,Argentina,44,0,0
138,2017,Libya,Argentina,0,5,0
139,2017,Sri Lanka,Argentina,37,0,0
140,2017,Mauritania,Argentina,0,5,0
141,2017,North Macedonia,Argentina,9,0,0
142,2017,Mexico,Argentina,0,5,0
143,2017,Mali,Argentina,9,0,0
144,2017,Morocco,Argentina,0,11,0
145,2017,Nepal,Argentina,0,5,0
146,2017,Nigeria,Argentina,42,55,0
147,2017,Pakistan,Argentina,32,24,0
148,2017,Paraguay,Argentina,8,10,0
149,2017,Peru,Argentina,547,26,0
150,2017,Philippines,Argentina,0,5,0
151,2017,Romania,Argentina,51,0,0
152,2017,South Africa,Argentina,0,5,0
153,2017,Russian Federation,Argentina,65,75,0
154,2017,El Salvador,Argentina,22,24,0
155,2017,Senegal,Argentina,42,956,0
156,2017,Sierra Leone,Argentina,37,6,0
157,2017,Somalia,Argentina,5,0,0
158,2017,Spain,Argentina,0,5,0
159,2017,Viet Nam,Argentina,0,5,0
160,2017,Sudan,Argentina,5,0,0
161,2017,Syrian Arab Rep.,Argentina,370,84,0
162,2017,Türkiye,Argentina,11,0,0
163,2017,Ukraine,Argentina,94,159,0
164,2017,United States of America,Argentina,5,15,0
165,2017,Venezuela (Bolivarian Republic of),Argentina,0,183,0
166,2017,Yemen,Argentina,15,0,0
167,2017,Stateless,Argentina,6,6,0
168,2017,Unknown ,Argentina,567,83,0
169,2017,Afghanistan,Armenia,0,5,0
170,2017,Azerbaijan,Armenia,2034,0,0
171,2017,Palestinian,Armenia,6,0,0
172,2017,Georgia,Armenia,8,0,0
173,2017,Cote d'Ivoire,Armenia,6,0,0
174,2017,Iran (Islamic Rep. of),Armenia,31,19,0
175,2017,Iraq,Armenia,1061,5,0
176,2017,Lebanon,Armenia,19,0,0
177,2017,Syrian Arab Rep.,Armenia,14680,12,0
178,2017,Türkiye,Armenia,5,10,0
179,2017,Ukraine,Armenia,113,0,0
180,2017,Uzbekistan,Armenia,0,5,0
181,2017,Yemen,Armenia,5,6,0
182,2017,Stateless,Armenia,0,0,0
183,2017,Afghanistan,Australia,10922,1795,0
184,2017,Albania,Australia,59,84,0
185,2017,Algeria,Australia,10,17,0
186,2017,Andorra,Australia,0,5,0
187,2017,Angola,Australia,0,5,0
188,2017,Antigua and Barbuda,Australia,0,5,0
189,2017,Egypt,Australia,1560,230,0
190,2017,Argentina,Australia,0,21,0
191,2017,Austria,Australia,0,5,0
192,2017,Azerbaijan,Australia,9,13,0
193,2017,Bahrain,Australia,97,20,0
194,2017,Burundi,Australia,50,35,0
195,2017,Bangladesh,Australia,434,857,0
196,2017,Bhutan,Australia,5,19,0
197,2017,Belarus,Australia,7,6,0
198,2017,Botswana,Australia,0,5,0
199,2017,Brazil,Australia,5,27,0
200,2017,Brunei Darussalam,Australia,0,9,0
201,2017,Bosnia and Herzegovina,Australia,0,15,0
202,2017,Bulgaria,Australia,0,6,0
203,2017,Cambodia,Australia,31,192,0
204,2017,Canada,Australia,0,6,0
205,2017,Chad,Australia,5,5,0
206,2017,China,Australia,2543,8525,0
207,2017,Chile,Australia,0,14,0
208,2017,Cameroon,Australia,42,40,0
209,2017,Congo,Australia,13,12,0
210,2017,Dem. Rep. of the Congo,Australia,48,61,0
211,2017,Colombia,Australia,116,102,0
212,2017,Cuba,Australia,0,6,0
213,2017,Cyprus,Australia,0,9,0
214,2017,Djibouti,Australia,5,5,0
215,2017,Dominica,Australia,0,5,0
216,2017,Ecuador,Australia,0,5,0
217,2017,Eritrea,Australia,138,26,0
218,2017,Estonia,Australia,0,6,0
219,2017,Ethiopia,Australia,282,267,0
220,2017,Fiji,Australia,406,462,0
221,2017,Finland,Australia,0,5,0
222,2017,France,Australia,0,12,0
223,2017,Gabon,Australia,0,5,0
224,2017,Gambia,Australia,8,5,0
225,2017,Palestinian,Australia,378,150,0
226,2017,United Kingdom of Great Britain and Northern Ireland,Australia,5,30,0
227,2017,Georgia,Australia,16,13,0
228,2017,Germany,Australia,5,10,0
229,2017,Ghana,Australia,32,91,0
230,2017,Greece,Australia,6,13,0
231,2017,Guatemala,Australia,0,5,0
232,2017,Guinea,Australia,12,11,0
233,2017,Haiti,Australia,0,5,0
234,2017,"China, Hong Kong SAR",Australia,5,57,0
235,2017,Honduras,Australia,5,6,0
236,2017,Hungary,Australia,0,5,0
237,2017,Cote d'Ivoire,Australia,5,5,0
238,2017,India,Australia,388,2300,0
239,2017,Indonesia,Australia,205,775,0
240,2017,Ireland,Australia,0,12,0
241,2017,Iran (Islamic Rep. of),Australia,8077,5877,0
242,2017,Iraq,Australia,4042,1563,0
243,2017,Israel,Australia,15,32,0
244,2017,Italy,Australia,5,14,0
245,2017,Jamaica,Australia,5,5,0
246,2017,Jordan,Australia,149,113,0
247,2017,Japan,Australia,10,11,0
248,2017,Kazakhstan,Australia,7,5,0
249,2017,Kenya,Australia,117,81,0
250,2017,Kyrgyzstan,Australia,14,15,0
251,2017,Rep. of Korea,Australia,45,107,0
252,2017,Dem. People's Rep. of Korea,Australia,19,5,0
253,2017,Kuwait,Australia,54,5,0
254,2017,Lao People's Dem. Rep.,Australia,5,37,0
255,2017,Liberia,Australia,37,25,0
256,2017,Libya,Australia,992,133,0
257,2017,Lebanon,Australia,548,668,0
258,2017,Sri Lanka,Australia,4489,3258,0
259,2017,Lithuania,Australia,0,6,0
260,2017,Madagascar,Australia,0,6,0
261,2017,Mauritania,Australia,0,5,0
262,2017,North Macedonia,Australia,5,28,0
263,2017,Rep. of Moldova,Australia,0,6,0
264,2017,Maldives,Australia,10,17,0
265,2017,Mexico,Australia,10,10,0
266,2017,Mali,Australia,0,6,0
267,2017,Malaysia,Australia,240,8539,0
268,2017,Malawi,Australia,0,9,0
269,2017,Mongolia,Australia,27,51,0
270,2017,Morocco,Australia,12,10,0
271,2017,Mozambique,Australia,5,5,0
272,2017,Mauritius,Australia,7,59,0
273,2017,Myanmar,Australia,516,243,0
274,2017,Nepal,Australia,182,327,0
275,2017,Nicaragua,Australia,0,5,0
276,2017,Nigeria,Australia,187,305,0
277,2017,Norway,Australia,0,9,0
278,2017,New Zealand,Australia,26,27,0
279,2017,Oman,Australia,5,0,0
280,2017,Pakistan,Australia,4496,2351,0
281,2017,Peru,Australia,9,21,0
282,2017,Philippines,Australia,51,287,0
283,2017,Papua New Guinea,Australia,396,372,0
284,2017,Poland,Australia,0,5,0
285,2017,Portugal,Australia,0,6,0
286,2017,Qatar,Australia,0,5,0
287,2017,Romania,Australia,9,11,0
288,2017,South Africa,Australia,36,88,0
289,2017,Russian Federation,Australia,55,33,0
290,2017,Rwanda,Australia,64,65,0
291,2017,El Salvador,Australia,10,19,0
292,2017,Saudi Arabia,Australia,94,97,0
293,2017,Serbia and Kosovo: S/RES/1244 (1999),Australia,5,25,0
294,2017,Senegal,Australia,0,5,0
295,2017,Singapore,Australia,6,6,0
296,2017,Sierra Leone,Australia,29,40,0
297,2017,Solomon Islands,Australia,21,106,0
298,2017,Somalia,Australia,139,257,0
299,2017,Viet Nam,Australia,200,1583,0
300,2017,Sudan,Australia,239,303,0
301,2017,South Sudan,Australia,7,29,0
302,2017,Slovakia,Australia,0,5,0
303,2017,Sweden,Australia,0,5,0
304,2017,Syrian Arab Rep.,Australia,477,128,0
305,2017,United Rep. of Tanzania,Australia,14,14,0
306,2017,Thailand,Australia,15,413,0
307,2017,Timor-Leste,Australia,8,0,0
308,2017,Togo,Australia,5,5,0
309,2017,Tonga,Australia,34,96,0
310,2017,Tunisia,Australia,5,12,0
311,2017,Türkiye,Australia,476,441,0
312,2017,United Arab Emirates,Australia,7,5,0
313,2017,Uganda,Australia,65,45,0
314,2017,Ukraine,Australia,18,82,0
315,2017,Uruguay,Australia,0,6,0
316,2017,United States of America,Australia,20,35,0
317,2017,Uzbekistan,Australia,29,9,0
318,2017,Vanuatu,Australia,0,6,0
319,2017,Venezuela (Bolivarian Republic of),Australia,26,80,0
320,2017,Samoa,Australia,0,11,0
321,2017,Yemen,Australia,27,14,0
322,2017,Zambia,Australia,10,24,0
323,2017,Zimbabwe,Australia,986,117,0
324,2017,Stateless,Australia,2609,2290,0
325,2017,Tibetan,Australia,17,5,0
326,2017,Unknown ,Australia,47,398,0
327,2017,Afghanistan,Austria,26939,24233,0
328,2017,Albania,Austria,88,51,0
329,2017,Algeria,Austria,43,248,0
330,2017,Angola,Austria,82,13,0
331,2017,Egypt,Austria,185,257,0
332,2017,Armenia,Austria,692,673,0
333,2017,Azerbaijan,Austria,323,214,0
334,2017,Burundi,Austria,16,7,0
335,2017,Benin,Austria,0,45,0
336,2017,Bangladesh,Austria,276,445,0
337,2017,Bhutan,Austria,5,0,0
338,2017,Burkina Faso,Austria,9,5,0
339,2017,Belarus,Austria,82,49,0
340,2017,Bolivia (Plurinational State of),Austria,11,0,0
341,2017,Bosnia and Herzegovina,Austria,117,31,0
342,2017,Chad,Austria,0,5,0
343,2017,China,Austria,559,331,0
344,2017,Cameroon,Austria,233,89,0
345,2017,Congo,Austria,131,15,0
346,2017,Dem. Rep. of the Congo,Austria,406,120,0
347,2017,Colombia,Austria,0,15,0
348,2017,Cuba,Austria,14,19,0
349,2017,Eritrea,Austria,303,89,0
350,2017,Estonia,Austria,5,0,0
351,2017,Ethiopia,Austria,188,145,0
352,2017,Gabon,Austria,0,5,0
353,2017,Gambia,Austria,134,219,0
354,2017,Georgia,Austria,555,734,0
355,2017,Ghana,Austria,31,71,0
356,2017,Guinea-Bissau,Austria,5,13,0
357,2017,Guatemala,Austria,9,0,0
358,2017,Guinea,Austria,142,82,0
359,2017,Croatia,Austria,5,0,0
360,2017,Cote d'Ivoire,Austria,70,39,0
361,2017,India,Austria,63,600,0
362,2017,Iran (Islamic Rep. of),Austria,4565,3433,0
363,2017,Iraq,Austria,7414,7805,0
364,2017,Israel,Austria,11,6,0
365,2017,Jordan,Austria,62,38,0
366,2017,Kazakhstan,Austria,100,88,0
367,2017,Kenya,Austria,30,22,0
368,2017,Kyrgyzstan,Austria,244,51,0
369,2017,Kuwait,Austria,5,7,0
370,2017,Liberia,Austria,18,25,0
371,2017,Libya,Austria,80,146,0
372,2017,Lebanon,Austria,68,157,0
373,2017,Sri Lanka,Austria,67,47,0
374,2017,Madagascar,Austria,5,0,0
375,2017,Mauritania,Austria,5,6,0
376,2017,North Macedonia,Austria,75,85,0
377,2017,Rep. of Moldova,Austria,66,44,0
378,2017,Mali,Austria,11,23,0
379,2017,Mongolia,Austria,177,288,0
380,2017,Morocco,Austria,30,218,0
381,2017,Montenegro,Austria,12,5,0
382,2017,Myanmar,Austria,36,14,0
383,2017,Nepal,Austria,39,82,0
384,2017,Niger,Austria,0,5,0
385,2017,Nigeria,Austria,407,1659,0
386,2017,Pakistan,Austria,270,1345,0
387,2017,Philippines,Austria,10,18,0
388,2017,Romania,Austria,9,0,0
389,2017,South Africa,Austria,5,0,0
390,2017,Russian Federation,Austria,11301,2239,0
391,2017,Rwanda,Austria,19,11,0
392,2017,Saudi Arabia,Austria,5,0,0
393,2017,Serbia and Kosovo: S/RES/1244 (1999),Austria,1216,397,0
394,2017,Senegal,Austria,13,31,0
395,2017,Sierra Leone,Austria,26,43,0
396,2017,Somalia,Austria,5671,2418,0
397,2017,Viet Nam,Austria,17,16,0
398,2017,Sudan,Austria,298,109,0
399,2017,South Sudan,Austria,5,12,0
400,2017,Syrian Arab Rep.,Austria,43888,3937,0
401,2017,United Rep. of Tanzania,Austria,0,5,0
402,2017,Tajikistan,Austria,166,129,0
403,2017,Turkmenistan,Austria,7,0,0
404,2017,Togo,Austria,12,9,0
405,2017,Tunisia,Austria,7,94,0
406,2017,Türkiye,Austria,802,529,0
407,2017,Uganda,Austria,23,21,0
408,2017,Ukraine,Austria,292,770,0
409,2017,United States of America,Austria,5,0,0
410,2017,Uzbekistan,Austria,113,126,0
411,2017,Venezuela (Bolivarian Republic of),Austria,0,23,0
412,2017,Yemen,Austria,163,120,0
413,2017,Zambia,Austria,5,0,0
414,2017,Zimbabwe,Austria,22,5,0
415,2017,Stateless,Austria,2326,0,0
416,2017,Unknown ,Austria,3308,756,0
417,2017,Afghanistan,Azerbaijan,587,70,0
418,2017,Azerbaijan,Azerbaijan,0,0,612785
419,2017,Palestinian,Azerbaijan,5,0,0
420,2017,Iran (Islamic Rep. of),Azerbaijan,56,0,0
421,2017,Iraq,Azerbaijan,8,0,0
422,2017,Sri Lanka,Azerbaijan,0,5,0
423,2017,Pakistan,Azerbaijan,16,8,0
424,2017,Russian Federation,Azerbaijan,419,28,0
425,2017,Syrian Arab Rep.,Azerbaijan,15,0,0
426,2017,Türkiye,Azerbaijan,0,8,0
427,2017,Ukraine,Azerbaijan,6,0,0
428,2017,Uzbekistan,Azerbaijan,0,5,0
429,2017,Yemen,Azerbaijan,8,0,0
430,2017,Stateless,Azerbaijan,0,0,0
431,2017,Egypt,Bahrain,0,5,0
432,2017,Iraq,Bahrain,246,95,0
433,2017,Jordan,Bahrain,0,6,0
434,2017,Yemen,Bahrain,9,5,0
435,2017,Angola,Burundi,0,5,0
436,2017,Burundi,Burundi,0,0,57258
437,2017,Benin,Burundi,0,0,0
438,2017,Central African Rep.,Burundi,0,6,0
439,2017,Dem. Rep. of the Congo,Burundi,61867,2737,0
440,2017,Mali,Burundi,13,5,0
441,2017,Rwanda,Burundi,422,793,0
442,2017,Somalia,Burundi,23,0,0
443,2017,United Rep. of Tanzania,Burundi,0,0,0
444,2017,Türkiye,Burundi,21,5,0
445,2017,Uganda,Burundi,7,0,0
446,2017,Stateless,Burundi,0,0,0
447,2017,Afghanistan,Belgium,3201,3915,0
448,2017,Albania,Belgium,534,385,0
449,2017,Algeria,Belgium,46,100,0
450,2017,Angola,Belgium,91,145,0
451,2017,Egypt,Belgium,50,75,0
452,2017,Armenia,Belgium,127,220,0
453,2017,Azerbaijan,Belgium,75,65,0
454,2017,Burundi,Belgium,454,355,0
455,2017,Benin,Belgium,30,35,0
456,2017,Bangladesh,Belgium,18,20,0
457,2017,Burkina Faso,Belgium,76,65,0
458,2017,Belarus,Belgium,41,45,0
459,2017,Brazil,Belgium,0,10,0
460,2017,Bosnia and Herzegovina,Belgium,50,40,0
461,2017,Bulgaria,Belgium,14,15,0
462,2017,Cambodia,Belgium,8,0,0
463,2017,Central African Rep.,Belgium,41,15,0
464,2017,Chad,Belgium,34,20,0
465,2017,China,Belgium,1197,105,0
466,2017,Chile,Belgium,48,10,0
467,2017,Cameroon,Belgium,404,360,0
468,2017,Congo,Belgium,31,20,0
469,2017,Dem. Rep. of the Congo,Belgium,1015,665,0
470,2017,Colombia,Belgium,33,80,0
471,2017,Cuba,Belgium,8,5,0
472,2017,Czechia,Belgium,6,5,0
473,2017,Djibouti,Belgium,267,105,0
474,2017,Dominican Rep.,Belgium,0,5,0
475,2017,Eritrea,Belgium,1000,350,0
476,2017,Ethiopia,Belgium,121,70,0
477,2017,Gabon,Belgium,16,15,0
478,2017,Gambia,Belgium,15,45,0
479,2017,Palestinian,Belgium,117,535,0
480,2017,United Kingdom of Great Britain and Northern Ireland,Belgium,0,5,0
481,2017,Georgia,Belgium,49,260,0
482,2017,Ghana,Belgium,36,25,0
483,2017,Guinea-Bissau,Belgium,11,5,0
484,2017,Guatemala,Belgium,6,10,0
485,2017,Guinea,Belgium,2690,810,0
486,2017,Haiti,Belgium,5,5,0
487,2017,Honduras,Belgium,0,20,0
488,2017,Croatia,Belgium,5,0,0
489,2017,Hungary,Belgium,49,0,0
490,2017,Cote d'Ivoire,Belgium,153,165,0
491,2017,India,Belgium,20,40,0
492,2017,Iran (Islamic Rep. of),Belgium,960,290,0
493,2017,Iraq,Belgium,4000,2020,0
494,2017,Israel,Belgium,13,10,0
495,2017,Jordan,Belgium,24,40,0
496,2017,Kazakhstan,Belgium,38,30,0
497,2017,Kenya,Belgium,22,5,0
498,2017,Kyrgyzstan,Belgium,64,40,0
499,2017,Dem. People's Rep. of Korea,Belgium,36,5,0
500,2017,Kuwait,Belgium,7,0,0
501,2017,Lao People's Dem. Rep.,Belgium,13,0,0
502,2017,Liberia,Belgium,15,10,0
503,2017,Libya,Belgium,60,45,0
504,2017,Lebanon,Belgium,99,155,0
505,2017,Sri Lanka,Belgium,394,100,0
506,2017,Lithuania,Belgium,7,0,0
507,2017,Madagascar,Belgium,5,5,0
508,2017,Mauritania,Belgium,206,135,0
509,2017,North Macedonia,Belgium,113,135,0
510,2017,Rep. of Moldova,Belgium,5,15,0
511,2017,Mexico,Belgium,0,5,0
512,2017,Mali,Belgium,61,55,0
513,2017,Mongolia,Belgium,0,5,0
514,2017,Morocco,Belgium,70,130,0
515,2017,Montenegro,Belgium,0,5,0
516,2017,Myanmar,Belgium,9,0,0
517,2017,Nepal,Belgium,13,20,0
518,2017,Niger,Belgium,91,60,0
519,2017,Nigeria,Belgium,43,70,0
520,2017,Pakistan,Belgium,222,155,0
521,2017,Peru,Belgium,0,5,0
522,2017,Philippines,Belgium,0,5,0
523,2017,Poland,Belgium,154,0,0
524,2017,Romania,Belgium,38,20,0
525,2017,South Africa,Belgium,5,5,0
526,2017,Russian Federation,Belgium,2558,825,0
527,2017,Rwanda,Belgium,803,420,0
528,2017,El Salvador,Belgium,7,205,0
529,2017,Saudi Arabia,Belgium,5,0,0
530,2017,Serbia and Kosovo: S/RES/1244 (1999),Belgium,155,310,0
531,2017,Senegal,Belgium,435,210,0
532,2017,Sierra Leone,Belgium,26,35,0
533,2017,Somalia,Belgium,1280,365,0
534,2017,Viet Nam,Belgium,40,5,0
535,2017,Sudan,Belgium,174,75,0
536,2017,Suriname,Belgium,0,5,0
537,2017,South Sudan,Belgium,0,5,0
538,2017,Slovakia,Belgium,0,15,0
539,2017,Syrian Arab Rep.,Belgium,9080,1665,0
540,2017,United Rep. of Tanzania,Belgium,50,25,0
541,2017,Tajikistan,Belgium,10,5,0
542,2017,Turkmenistan,Belgium,5,0,0
543,2017,Togo,Belgium,176,105,0
544,2017,Tunisia,Belgium,37,30,0
545,2017,Türkiye,Belgium,587,715,0
546,2017,Uganda,Belgium,20,10,0
547,2017,Ukraine,Belgium,166,195,0
548,2017,United States of America,Belgium,0,5,0
549,2017,Uzbekistan,Belgium,32,15,0
550,2017,Venezuela (Bolivarian Republic of),Belgium,6,220,0
551,2017,Yemen,Belgium,24,5,0
552,2017,Zimbabwe,Belgium,0,5,0
553,2017,Stateless,Belgium,0,15,0
554,2017,Unknown ,Belgium,7503,445,0
555,2017,Burundi,Benin,5,0,0
556,2017,Central African Rep.,Benin,848,132,0
557,2017,Chad,Benin,0,6,0
558,2017,Cameroon,Benin,0,10,0
559,2017,Congo,Benin,0,7,0
560,2017,Dem. Rep. of the Congo,Benin,7,24,0
561,2017,Eritrea,Benin,5,0,0
562,2017,Cote d'Ivoire,Benin,162,20,0
563,2017,Liberia,Benin,0,5,0
564,2017,Sri Lanka,Benin,7,0,0
565,2017,Mali,Benin,5,12,0
566,2017,Nigeria,Benin,0,5,0
567,2017,Pakistan,Benin,5,0,0
568,2017,Syrian Arab Rep.,Benin,7,5,0
569,2017,Togo,Benin,0,28,0
570,2017,Türkiye,Benin,5,0,0
571,2017,Yemen,Benin,0,8,0
572,2017,Dem. Rep. of the Congo,Bangladesh,0,5,0
573,2017,Myanmar,Bangladesh,932204,0,0
574,2017,Somalia,Bangladesh,5,5,0
575,2017,Türkiye,Bangladesh,0,105,0
576,2017,Stateless,Bangladesh,0,0,0
577,2017,Cuba,Bahamas,8,10,0
578,2017,Haiti,Bahamas,0,5,0
579,2017,Burundi,Burkina Faso,30,0,0
580,2017,Burkina Faso,Burkina Faso,0,0,2350
581,2017,Central African Rep.,Burkina Faso,167,43,0
582,2017,Chad,Burkina Faso,82,0,0
583,2017,Cameroon,Burkina Faso,6,0,0
584,2017,Congo,Burkina Faso,26,0,0
585,2017,Dem. Rep. of the Congo,Burkina Faso,33,0,0
586,2017,Cote d'Ivoire,Burkina Faso,5,0,0
587,2017,Mali,Burkina Faso,23766,0,0
588,2017,Rwanda,Burkina Faso,23,0,0
589,2017,Togo,Burkina Faso,14,0,0
590,2017,Afghanistan,Belarus,209,0,0
591,2017,Egypt,Belarus,5,0,0
592,2017,Armenia,Belarus,5,0,0
593,2017,Azerbaijan,Belarus,5,0,0
594,2017,Bangladesh,Belarus,0,5,0
595,2017,Ethiopia,Belarus,5,0,0
596,2017,Palestinian,Belarus,5,0,0
597,2017,Georgia,Belarus,59,0,0
598,2017,Iran (Islamic Rep. of),Belarus,5,0,0
599,2017,Iraq,Belarus,13,8,0
600,2017,Libya,Belarus,9,0,0
601,2017,Syrian Arab Rep.,Belarus,87,0,0
602,2017,Tajikistan,Belarus,12,0,0
603,2017,Türkiye,Belarus,0,5,0
604,2017,Ukraine,Belarus,1694,255,0
605,2017,Yemen,Belarus,42,0,0
606,2017,Stateless,Belarus,0,0,0
607,2017,Chile,Bolivia (Plurinational State of),8,0,0
608,2017,Colombia,Bolivia (Plurinational State of),213,21,0
609,2017,Cuba,Bolivia (Plurinational State of),9,0,0
610,2017,Ecuador,Bolivia (Plurinational State of),5,0,0
611,2017,Cote d'Ivoire,Bolivia (Plurinational State of),5,0,0
612,2017,Iraq,Bolivia (Plurinational State of),16,0,0
613,2017,Nigeria,Bolivia (Plurinational State of),0,5,0
614,2017,Pakistan,Bolivia (Plurinational State of),5,0,0
